original_sentence,paraphrased_sentence,perturb_n1,perturb_n2,perturb_n3
"Josephine Burke , who ran the unlicensed daycare , eventually served four months in prison on misdemeanor assault and child neglect charges .","Josephine Burke , who ran the illegal day care , served four months in prison on misdemeanor assault and child-neglect charges .","Josephine Burke , who months the unlicensed daycare , eventually served four ran in prison on misdemeanor assault and child neglect charges .","Josephine Burke , who months the unlicensed prison , eventually served four ran in daycare on misdemeanor assault and child neglect charges .","Josephine and , who ran the unlicensed daycare , charges served four months prison in on misdemeanor assault Burke child neglect eventually ."
Hedge funds came under renewed scrutiny recently when New York Attorney General Eliot Spitzer unveiled a probe of illegal trading in mutual fund shares .,The industry came under renewed scrutiny recently with the launch by New York Attorney General Eliot Spitzer of an investigation of illegal trading in mutual fund shares .,Hedge funds came under . scrutiny recently when New York Attorney General Eliot Spitzer unveiled a probe of illegal trading in mutual fund shares renewed,Hedge funds came under General scrutiny recently when New York Attorney renewed Eliot shares unveiled a probe of illegal trading in mutual fund Spitzer .,in funds came under renewed scrutiny recently when New York Attorney General Eliot Spitzer unveiled shares . of illegal trading Hedge mutual fund a probe
Operating revenue fell 4.5 percent to $ 2.3 billion from a year earlier .,"Operating revenues were down about 1 percent to $ 4.55 billion , from $ 4.59 billion .",Operating revenue a 4.5 percent to $ 2.3 billion from fell year earlier .,Operating 2.3 revenue 4.5 percent to $ fell billion from a year earlier .,Operating billion 2.3 4.5 percent to a fell revenue from $ year earlier .
"Since December 2002 , Evans has been the vice chair of the U.S. Chief Information Officers Council .",Evans is also the vice-chairman of the Federal Chief Information Officers Council .,"Since December Council , Evans has been the vice chair of the U.S. Chief Information Officers 2002 .","Since December 2002 , Evans been Information the vice chair of the U.S. Chief has Officers Council .","December Since 2002 been Evans has , the vice chair of Chief U.S. the Information Officers Council ."
"Many of the countries affected , like Colombia and Ecuador , are considered critical to the administration 's efforts to bring stability to the Western Hemisphere .","Many of the affected countries , such as Colombia and Ecuador , are considered critical to the administration 's efforts to bring stability to this hemisphere .","efforts of the countries affected , like Colombia and Ecuador , are considered critical to the administration 's Many to bring stability to the Western Hemisphere .","Many of the countries affected the like Colombia and Ecuador , are considered critical to efforts administration 's the to bring stability to , Western Hemisphere .","Many Colombia the to affected , like of Ecuador and , are considered critical to the administration 's efforts to bring stability countries the Western Hemisphere ."
"The huge bottom-line loss stemmed from a 1.5 billion pound assets writedown , on top of a 3.5 billion first-half charge .","The huge bottom line loss stemmed from a 1.5 billion-pound asset writedown , on top of a 3.5 billion first-half charge .","The huge bottom-line loss stemmed from a 1.5 billion pound assets writedown , on top of a 3.5 billion charge first-half .","charge huge bottom-line loss stemmed from a 1.5 billion The assets writedown , on top of a 3.5 billion first-half pound .","The stemmed bottom-line loss first-half from a 1.5 pound billion assets writedown , on top of a 3.5 billion huge charge ."
BOCHK chief executive Liu Jinbao was transferred abruptly to Beijing last month .,He was chief executive of BOCHK until he was suddenly recalled to Beijing last month .,BOCHK chief abruptly Liu Jinbao was transferred executive to Beijing last month .,BOCHK chief transferred Liu Jinbao was executive abruptly to last Beijing month .,BOCHK chief executive Liu last abruptly was transferred to Beijing Jinbao month .
"In case the company does not turn in the reports before the end of May , it is likely to be delisted , an SFC official said .","If the company did not turn in the results before the end of May , it was likely to be delisted , an SFC official said .","In case the company does not turn in the reports before an end of May , it is likely to be delisted , the SFC official said .","In case does company turn not the in the reports before the end of May , it is likely to be delisted , an SFC official said .","In case the company does reports turn in the not before said is of May , it end likely to be delisted , an SFC official the ."
"Watson , of Whitakers , N.C. , was found guilty of making a false threat to detonate explosives , and destruction of federal property .","Dwight Watson , 50 , was convicted of making a false threat to detonate explosives and of destroying federal property .","Watson , of Whitakers , N.C. destruction was found guilty of making a false threat to detonate explosives , and , of federal property .","Watson , of Whitakers , N.C. , false found guilty of making a was destruction to detonate explosives , and threat of federal property .","Watson a of . Whitakers N.C. , was found guilty of making , false threat to detonate explosives , and destruction of federal property ,"
""" The gloves are off , "" said UNIFI official Rob O 'Neill .","Unifi official Rob O 'Neill said : "" The gloves are off .",""" The O are off , "" said UNIFI official Rob gloves 'Neill .",""" "" gloves are off , The said O official Rob UNIFI 'Neill .",""" The gloves are off official , . UNIFI "" Rob O 'Neill said"
It 's one of several negotiating items where Canada appears to have caved in to U.S. demands and accepted less favourable terms .,Giving up half the duties is one of several negotiating items where Canada appears to have caved in to U.S. demands and accepted less favourable terms .,It 's one of several negotiating items where Canada appears to have caved less to U.S. demands and accepted in favourable terms .,several 's one less It negotiating items where Canada appears to have caved in to U.S. demands and accepted of favourable terms .,It 's one in to of items where Canada appears several have caved negotiating to U.S. demands and accepted less favourable terms .
His harsh criticism of PLO chairman Yasser Arafat led to his books being banned for a time by the Palestinian Authority .,"His harsh criticism of the PLO 's chairman , Yasser Arafat , saw the Palestinian Authority ban his books for a time .",His harsh criticism of PLO chairman Yasser Arafat led to his books being banned . a time by the Palestinian Authority for,of harsh criticism being PLO chairman Yasser Arafat led to his books His banned for a time by the Palestinian Authority .,Palestinian harsh criticism of PLO chairman Authority his led to Arafat books being banned for a time by the His Yasser .
""" We believe we are fully prepared to roll out the [ touch-screen ] machines for the 2004 presidential primary , "" said Gilles W. Burger , State Board of Elections chairman .",""" We believe we are fully prepared to roll out the revised Diebold machines , "" said Gilles W. Burger , chairman of the Maryland State Board of Elections .",""" We believe we are ] prepared to roll out the [ touch-screen fully machines for the 2004 presidential primary , "" said Gilles W. Burger , State Board of Elections chairman .",""" We roll we are for prepared to believe out the [ touch-screen ] machines fully the 2004 presidential primary , "" said Gilles W. Burger , State Board of Elections chairman .",""" the believe we are fully prepared to roll out the [ touch-screen ] machines for We 2004 Board chairman , "" said Gilles W. Burger , State presidential of Elections primary ."
""" They were an inspirational couple , selfless and courageous , "" said the Oscar-winning film director .","He said : “ They were an inspirational couple , selfless and courageous .",""" They were inspirational an couple , selfless and courageous , "" said the Oscar-winning film director .","an They were "" and couple , selfless inspirational courageous , "" said the Oscar-winning film director .",""" They were an inspirational couple , selfless and , . "" film the Oscar-winning said director courageous"
"WorldCom , brought down by an $ 11 billion accounting scandal , is adopting the name of its MCI long-distance division in a bid to clean up its image .","WorldCom , decimated by a massive accounting scandal , is adopting the name of its MCI long-distance division in a bid to clean up its image .","WorldCom , brought to by an $ 11 billion accounting scandal , is adopting the name of its MCI long-distance division in a bid down clean up its image .","WorldCom , brought down by an $ 11 billion accounting up , is adopting the name of bid MCI long-distance division in a its to clean scandal its image .","WorldCom , brought down by an $ , billion accounting adopting long-distance is scandal the name of its MCI 11 division in a bid to clean up its image ."
"Launched from the space shuttle Atlantis in 1989 , Galileo will have travelled about 4.6 billion kilometres by the time it hits Jupiter .","Launched from space shuttle Atlantis ( news - web sites ) in 1989 , Galileo will have traveled about 2.8 billion miles by the time it hits Jupiter .","Launched from the space shuttle Atlantis in 1989 , Galileo will have travelled about 4.6 billion kilometres by . time it hits Jupiter the","Launched from Jupiter space in Atlantis shuttle 1989 , Galileo will have travelled about 4.6 billion kilometres by the time it hits the .","Launched from the Atlantis shuttle space in will , Galileo by have travelled about 4.6 billion kilometres 1989 the time it hits Jupiter ."
"The search was concentrated in northeast Pennsylvania , but state trooper Tom Kelly acknowledged that Selenski could have traveled hundreds of miles by now .","The search was concentrated in northeastern Pennsylvania , but State Police Trooper Tom Kelly acknowledged that Selenski could be out of the area .","The search was concentrated in northeast Pennsylvania , but state trooper Kelly Tom acknowledged that Selenski could have traveled hundreds of miles by now .","The search was concentrated in northeast Pennsylvania , but state trooper Tom Kelly acknowledged traveled . could have that hundreds of miles by now Selenski","Selenski search in concentrated was northeast Pennsylvania , but trooper state Tom Kelly acknowledged that The could have traveled hundreds of miles by now ."
"The US investment bank said : "" We believe the long-term prospects for the energy sector in the UK remain attractive . """,""" We believe the long-term prospects for the energy sector in the UK remain attractive , "" Goldman said .","The US investment bank said : "" We believe the the prospects for long-term energy sector in the UK remain attractive . ""","The US investment bank said the "" We believe : sector prospects for the energy long-term in the UK remain attractive . ""","The US investment : said bank prospects We believe the long-term "" for the energy sector in the UK "" attractive . remain"
"Available in June , Bare Metal Restore 4.6 costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client .","Available in June , 4.6 Metal Restore Bare costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Available per June , 4.6 Metal Restore Bare costs $ 900 per Windows client and $ 1,000 in Unix client for new customers .","in Available June , Windows Metal Restore . costs $ 900 per Bare client and $ 1,000 per Unix client for new customers 4.6"
But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live .,"China is scrambling to stop the disease from spreading to the countryside , where most of its 1.3 billion people live .",But the country is scrambling to prevent it live to the vast countryside where most of its 1.3 billion people spreading .,But the country 1.3 scrambling to prevent it live to the vast countryside where most of its is billion people spreading .,But the of is scrambling . prevent live spreading to the vast countryside where most country its 1.3 billion people it to
But labor leaders said it was often difficult for these Americans to join a union because many employers fought organizing efforts .,But labor leaders say it is often hard for these people to join a union because many employers aggressively fight organizing efforts .,But labor difficult said it was often leaders for these Americans to join a union because many employers fought organizing efforts .,labor But leaders employers it was often difficult for these Americans to join a union because many said fought organizing efforts .,But labor leaders said efforts a often difficult for these Americans to join was because union many employers fought organizing it .
The Democratic primary results have a margin of error of plus or minus 6.1 percentage points .,The Democratic sample has an error margin of plus or minus 6.1 percent .,of Democratic primary results have a margin of error The plus or minus 6.1 percentage points .,The Democratic primary of have a margin of error results plus or minus . percentage points 6.1,The Democratic primary results have or margin error of of a plus minus 6.1 percentage points .
""" We disagree with the judge 's decision on notice for Engine Company 261 , "" said a statement by Michael A. Cardozo , the city 's corporation counsel .","He added that : "" We disagree with the judge 's decision on notice for Engine Company 261 . """,""" We disagree with the judge 's decision on notice for Engine Company 261 , "" said a statement by Michael corporation Cardozo , the city 's A. counsel .","the We disagree with "" judge 's . on notice for Engine Company 261 , "" said a statement by Michael A. Cardozo , the city 's corporation counsel decision",""" We disagree with the notice 's decision on A. for Engine Company 261 , "" said a judge by Michael statement Cardozo , the city 's corporation counsel ."
"Samuel Waksal , ImClone 's former CEO , recently began serving a prison sentence of more than seven years for securities fraud .","Waksal , who pleaded guilty to securities fraud charges , recently began serving a prison sentence of more than seven years .","Samuel Waksal , ImClone 's former began , recently CEO serving a prison sentence of more than seven years for securities fraud .",", Waksal , ImClone 's former CEO Samuel recently began serving a sentence prison of more than seven years for securities fraud .","Samuel Waksal , prison a former CEO , recently began . 's ImClone sentence of more than seven years for securities fraud serving"
"Scotland Yard said the three were charged under the Anti-Terrorism , Crime and Security Act 2001 , with alleged failure to disclose information about acts of terrorism .",Scotland Yard said in a statement it had charged a 46-year-old man and two women aged 27 and 35 with failing to disclose information about acts of terrorism .,"Scotland Yard said the three were charged under the Anti-Terrorism , Crime and Security Act 2001 failure with alleged , to disclose information about acts of terrorism .","Scotland Yard said the Crime were charged under the to , three and Security Act 2001 , with alleged failure Anti-Terrorism disclose information about acts of terrorism .","Scotland Yard said , three were charged under the Anti-Terrorism 2001 failure and Security Act , the with alleged Crime to disclose information about acts of terrorism ."
"In Virginia , Mr. Kilgore , a Republican , accused the court of undermining "" Virginia 's right to pass legislation that reflects the views and values of our citizens . ""","The Virginia attorney-general , Jerry Kilgore , accused the Supreme Court of undermining "" Virginia 's right to pass legislation that reflects the views and values of our citizens "" .","In Virginia , Mr. Kilgore , a Republican , accused the court and undermining "" Virginia 's right to pass legislation that reflects the views of values of our citizens . ""","In Virginia , Mr. Kilgore , a "" , accused the court of undermining views Virginia 's right to pass legislation that reflects the "" and values of our citizens . Republican","In Virginia , that Mr. our a Republican , accused the court of undermining "" Virginia 's right to pass legislation Kilgore reflects the views and values of , citizens . """
"The deal will combine Adobe 's Form Server , Form Designer and Reader products with IBM 's DB2 Content Manager and DB2 CommonStore products .","Big Blue will integrate Adobe 's Form Server , Form Designer and Reader products with its DB2 Content Manager and DB2 CommonStore products designed for businesses .","The deal will combine Adobe 's Form Server , and Designer and Reader products with IBM 's DB2 Content Manager Form DB2 CommonStore products .","The deal will Server Adobe combine Form 's , Form Designer and Reader products with IBM 's DB2 Content Manager and DB2 CommonStore products .","The and will combine Adobe 's Form Server , Manager Designer deal Reader products with IBM and DB2 Content Form 's DB2 CommonStore products ."
The research is set to change how the public and doctors check for melanomas .,Now research by Melbourne 's Alfred Hospital will change how the public and doctors check for melanomas .,for research is set to change how the public and doctors check The melanomas .,The and is set change to how the public research doctors check for melanomas .,The to is set research change how the public and doctors check for melanomas .
Spider-Man snatched $ 114.7 million in its debut last year and went on to capture $ 403.7 million .,"Spider-Man , rated PG-13 , snatched $ 114.7 million in its first weekend and went on to take in $ 403.7 million .",Spider-Man snatched $ 114.7 million in its $ last year and went on to capture debut 403.7 million .,Spider-Man snatched went and million in its debut last year 114.7 $ on to capture $ 403.7 million .,Spider-Man snatched $ 114.7 year in debut went last million and its on to capture $ 403.7 million .
"In Las Vegas , agents entered two clubs — Cheetah 's and Jaguars — along with Galardi Enterprises , an office atop a bar and pool hall in downtown Las Vegas .","In Las Vegas , federal agents stormed two clubs - Cheetah 's and Jaguars - along with Galardi Enterprises , an office atop a bar in downtown .","In Las Vegas , agents entered two and — Cheetah 's and Jaguars — along with Galardi Enterprises , an office atop a bar clubs pool hall in downtown Las Vegas .","In Las Cheetah , agents entered two clubs — Vegas 's in Jaguars — along with Galardi Enterprises , an office atop a bar and pool hall and downtown Las Vegas .","In Las Vegas , agents entered two a — Cheetah 's and Jaguars — along with Galardi Enterprises downtown an office atop Las bar and pool hall in , clubs Vegas ."
"Because of the holiday period , the agency will not release data from the period since Dec. 27 until today .","Because of the holidays , CDC is not releasing data from the period since Dec. 27 until today .","Because of the holiday period , the since will not release data from the period agency Dec. 27 until today .","Because of the holiday period today the agency will not Dec. data from the period since release 27 until , .","Because of the holiday period , will agency the until release data from the not since Dec. 27 period today ."
"IBM said it believes that the investigation arose from a separate SEC investigation of a customer of IBM 's Retail Store Solutions unit , which markets and sells point-of-sale products .","The company added : "" IBM believes that the investigation arises from a separate investigation by the SEC of a customer of IBM 's Retail Store Solutions unit .","IBM said it believes that the investigation arose from a separate SEC investigation of a customer of IBM 's Store Retail Solutions unit , which markets and sells point-of-sale products .","IBM said it believes point-of-sale the investigation arose from a separate SEC investigation Solutions a customer of IBM 's Retail Store of unit , which markets and sells that products .","IBM investigation it believes that the said arose from sells separate SEC investigation of a customer of IBM 's point-of-sale Store Solutions unit , which markets and a Retail products ."
""" I think the financial diplomacy here of the sort that we are engaged in is the surest course to get the result we want . """,""" The financial diplomacy we 're engaged in is the surest course to get what we want , "" Mr. Snow said .",""" I the the financial diplomacy here of the sort that we are engaged in is think surest course to get the result we want . """,""" I think the financial diplomacy here of the the that we are engaged in is the surest course "" get sort result we want . to","surest I think the financial diplomacy here that the sort of we are engaged in the is "" course to get the result we want . """
""" No , what I do is I answer questions as to whether or not the help that is available is being delivered , "" Bush said .",""" Now I want to know whether or not the help that is available is being expedited and made available .","to No , what I do is I answer questions as "" whether or not the help that is available is being delivered , "" Bush said .",""" No , answer I do is I what to as questions whether or not the help that is available is being delivered , "" Bush said .",""" No , help I do or is answer questions as to whether I not the what that is available is being delivered , "" Bush said ."
Perry has since called two special legislative sessions to try force the redistricting plan through .,"Since then , Texas Gov. Rick Perry has called two special sessions trying to push the measure through .",Perry has since called force special legislative sessions to try two the redistricting plan through .,Perry has to called two special legislative sessions since try force . redistricting plan through the,Perry plan legislative called two sessions since special to try force the redistricting has through .
""" The difference is just something called the tuner , which is a very small piece of equipment . ""","The only difference is a tuner , a small piece of electronics . """,""" The difference is just something called the tuner , which is . very small piece of equipment a ""","just The difference is which something called the tuner , "" is a very small piece of equipment . """,""" The difference is just piece called the tuner , which is a very small of equipment something . """
"When the butterflies were exposed to constant light , they flew directly towards the sun , presumably because they no longer had any sense of time .","And when butterflies were exposed to constant light , they flew directly toward the sun , apparently having lost their sense of time .","When the butterflies were exposed to constant light , they flew the towards directly sun , presumably because they no longer had any sense of time .","When the butterflies were towards to constant light , they flew directly exposed the sense , presumably because they no longer had any sun of time .","When the directly were exposed time constant light , they flew butterflies towards the sun because presumably , they no longer had any sense of to ."
They said he organized a network of associates operating in as many as a dozen states .,"Agents described Carlow , 50 , as a "" major player ' ' who organized a network of associates operating in as many as a dozen states .",They said he organized a states of associates operating in as many as a dozen network .,They said states a a network of associates operating in as many as organized dozen he .,in said he organized a a states associates operating They as many as network dozen of .
"In addition , David Jones will pay him $ 10 million to take over the Foodchain leases .",DJs will pay homewares and furniture group Freedom $ 10 million to take over the Foodchain store leases .,", addition In David Jones will pay him $ 10 million to take over the Foodchain leases .","In addition million David $ will pay him Jones 10 , to take over the Foodchain leases .","In addition million the Jones , pay him $ 10 will to take over David Foodchain leases ."
"Tisha Kresler , a spokeswoman for Global Crossing , declined to comment .",A Global Crossing representative had no immediate comment .,"Tisha declined , a spokeswoman for Global Crossing , Kresler to comment .","Tisha Kresler . a spokeswoman Global for Crossing , declined to comment ,","Tisha Kresler , to comment Global for Crossing , declined a spokeswoman ."
O 'Keefe declined to discuss whether such photos from spy satellites might have been able to detect the small crack in the wing .,O 'Keefe declined to discuss whether such photos would have enough resolution to detect small cracks in the wing panels .,from 'Keefe declined to discuss whether such photos O spy satellites might have been able to detect the small crack in the wing .,O 'Keefe declined to discuss whether such photos from spy to might have satellites able been detect the small crack in the wing .,O detect declined to discuss whether such to from spy . might have been able photos 'Keefe the small crack in the wing satellites
"Residents forced out of their homes on Sunday returned Monday , many to floods in their basements or lower floors .","Residents of 220 homes forced out of their houses Sunday returned Monday , many to flooded basements or lower floors .","Residents on out of their homes forced Sunday returned Monday , many to floods in their basements or lower floors .","Residents forced out of their homes on Sunday returned Monday . many to floors in their basements or lower floods ,","Residents forced out lower their homes on Sunday returned Monday , floods to many in their of or basements floors ."
Initial reports indicated the shots had been fired from inside a mosque .,"According to Central Command 's initial reports , the attackers fired from a mosque in the city .",. reports indicated the shots had been fired from inside a mosque Initial,Initial reports . a shots had been fired from inside the mosque indicated,Initial reports indicated shots been had the a from inside fired mosque .
"Last week , the executive committee of the Board of Trustees issued a no-confidence vote in Goldin .",But last week the executive committee of the board of trustees gave him a vote of no confidence .,"Last week , the executive committee of the Board of Trustees issued Goldin no-confidence vote in a .","Last week , the executive committee of the Board of Trustees issued no-confidence a vote . Goldin in","Last week in the executive a of the Board of Trustees issued committee no-confidence , vote Goldin ."
"Manfred Bischoff , EADS co-chairman and also a member of the management board of DaimlerChrysler , said both EPI and Pratt & Whitney had presented "" excellent proposals .","Manfred Bischoff , EADS co-chairman and a member of DaimlerChrysler 's management board , said EPI and P & W had presented "" excellent proposals .","Manfred Bischoff , EADS co-chairman and also a member Pratt the management board of DaimlerChrysler , said both EPI and of & Whitney had presented "" excellent proposals .","Manfred Bischoff , EADS co-chairman and also a member of the management board of DaimlerChrysler both said excellent EPI and Pratt & Whitney had presented "" , proposals .","Manfred Bischoff of EADS co-chairman and also a member , the management "" of DaimlerChrysler , said both board and Pratt & Whitney had presented EPI excellent proposals ."
"The TAAD and SAR-x chips are priced from $ 125 to $ 300 in quantities of 10,000 .","The products are priced at $ 575 and $ 295 in quantities of 10,000 .","The TAAD and SAR-x chips are priced from $ 125 to $ 300 10,000 quantities of in .","The TAAD in SAR-x chips are priced 300 $ 125 to $ from and quantities of 10,000 .","The TAAD and SAR-x 300 are from priced chips 125 to $ $ in quantities of 10,000 ."
The findings are being published today in the Annals of Internal Medicine .,The findings are published in the July 1st issue of the Annals of Internal Medicine .,The findings are being published today Medicine the Annals of Internal in .,The findings are being published today in the of Annals Internal . Medicine,today findings are being in The published the Annals of . Medicine Internal
"The Standard & Poor 's 500 Index shed 5.20 , or 0.6 percent , to 924.42 as of 9 : 33 a.m. in New York .","The broader Standard & Poor 's 500 Index .SPX edged down 9 points , or 0.98 percent , to 921 .","The Standard percent Poor 's 500 Index shed 5.20 , or 0.6 & , to 924.42 as of 9 : 33 a.m. in New York .","The Standard & Poor 's 500 Index in 5.20 , or 0.6 percent , to 924.42 as of 9 : 33 a.m. shed . York New","in Standard & Poor 's 500 Index shed 5.20 , or 0.6 percent , to 924.42 as of . 9 33 a.m. The New York :"
"D 'Cunha said , from a science standpoint , Toronto 's last case was April 19 , so the all-clear day was actually yesterday .","He said , from a science standpoint , the city 's last case was April 19 , so the all clear day was actually yesterday .","D 'Cunha said , from a science standpoint , Toronto 's last case was April 19 , day the all-clear so was actually yesterday .","last 'Cunha standpoint , from a science said , Toronto 's D case was April 19 , so the all-clear day was actually yesterday .","D so said 'Cunha from a science standpoint , Toronto 's last case was April 19 , all-clear the , day was actually yesterday ."
"They describe themselves as "" lifelong non-smokers whose primary interest is an accurate determination of the health effects of tobacco "" .","The journal says : "" Both are lifelong non-smokers whose primary interest is an accurate determination of the health effects of tobacco . ""","They describe themselves as "" lifelong non-smokers whose primary interest is an accurate determination of the health tobacco of effects "" .","non-smokers describe themselves as "" lifelong They whose primary interest is effects accurate determination of the health an of tobacco "" .","effects describe themselves as "" lifelong non-smokers of primary interest the an accurate determination of is health They whose tobacco "" ."
"A photograph of the doctor 's son , Ariel , holding the guitar appeared in the National Enquirer two weeks after Harrison 's death .",A picture of the doctor 's son holding the guitar appeared in the National Enquirer just two weeks after George died .,"A photograph of the Ariel 's son , doctor , holding the guitar appeared in the National Enquirer two weeks after Harrison 's death .","A the of photograph the 's son , Ariel , holding the guitar appeared in doctor National Enquirer two weeks after Harrison 's death .","A photograph of 's doctor the son Harrison Ariel , 's the guitar appeared in the National Enquirer two weeks after , holding death ."
"Inamed shares closed down nearly 12 percent on Nasdaq , where it was one of the top percentage losers .","Inamed shares dropped as much as about 16 percent on Nasdaq , where it was one of the top percentage losers .","Inamed shares , down nearly 12 percent on Nasdaq closed where it was one of the top percentage losers .","Inamed shares closed down it 12 percent on Nasdaq of where nearly was one , the top percentage losers .","Inamed shares percentage down nearly 12 percent on Nasdaq top where it was . of the , closed losers one"
"Before completion , the group will take surplus cash of 16.5m from TCG to reduce its net borrowings .","Prior to completion , CCG said it will also extract surplus cash of $ 27 million to reduce net borrowings .","Before completion net the group will take surplus cash of 16.5m from TCG to reduce its , borrowings .","Before completion , the borrowings will take to cash of 16.5m from TCG surplus reduce its net group .","Before completion , the group of take surplus net TCG 16.5m from will to reduce its cash borrowings ."
"Delta personnel at Hartsfield-Jackson International Airport were scrambling all day to find alternate flights -- even on other airlines , when necessary -- to move the inconvenienced passengers .",Delta personnel at Atlanta 's Hartsfield-Jackson International Airport scrambled all day to find alternate flights -- including seats on other airlines -- to move the inconvenienced passengers .,"Delta personnel at Hartsfield-Jackson International Airport the scrambling all day to find alternate flights -- even on other airlines , when necessary -- to move were inconvenienced passengers .","Delta scrambling at Hartsfield-Jackson International Airport inconvenienced personnel all day to find alternate flights -- even on other airlines , when necessary -- to move the were passengers .","Delta personnel at Hartsfield-Jackson International Airport were scrambling all , to find alternate flights -- even move other airlines day when necessary -- to . the inconvenienced passengers on"
""" Based on that review , I have concluded that CEO & President Greg Parseghian and General Counsel Maud Mater should be replaced , "" said Falcon in a statement .","Based on that review , I have concluded that CEO and President Greg Parseghian and General Counsel Maud Mater should be replaced , "" Falcon said .",""" Based on that Counsel , I have concluded that CEO & President Greg Parseghian and General review Maud Mater should be replaced , "" said Falcon in a statement .",""" Based on . , , I have concluded that CEO & President Greg Parseghian and General Counsel Maud Mater should be replaced review "" said Falcon in a statement that",""" Based on that review , I have concluded that CEO & President Greg Maud and General Counsel Parseghian , should Falcon replaced Mater "" said be in a statement ."
"In trading on the New York Stock Exchange , Kraft shares fell 25 cents to close at $ 32.30 .",Kraft 's shares fell 25 cents to close at $ 32.30 yesterday on the New York Stock Exchange .,"In trading on the New York Stock Exchange , Kraft 25 fell shares cents to close at $ 32.30 .","cents trading on the 25 York Stock Exchange , Kraft shares fell New In to close at $ 32.30 .","In trading on the New $ Stock Exchange , Kraft shares close 25 cents fell to at York 32.30 ."
"Stealing identities and credit card numbers with bogus e-mail and websites that appear to come from legitimate companies is an increasing problem on the Internet , federal officials warned Monday .","Stealing identities and credit-card numbers with bogus e-mail and Web sites that appear to come from legitimate companies is an increasing problem on the Internet , federal officials warned yesterday .","Stealing identities and credit card numbers with bogus e-mail and websites that appear to come from legitimate companies increasing an is problem on the Internet , federal officials warned Monday .","Stealing that and on card numbers with bogus e-mail and websites identities appear to come from legitimate companies is an increasing problem credit the Internet , federal officials warned Monday .","Stealing identities and credit card numbers with bogus e-mail and increasing Internet appear to come from legitimate companies on an websites problem is the that , federal officials warned Monday ."
"He was listed last night in critical but stable condition at Kings County Hospital Center , police said .","That victim , a New Jersey resident , was in critical but stable condition at the hospital .","He was condition last night in critical but stable listed at Kings County Hospital Center , police said .","He was . last night , critical but stable condition at Kings County Hospital Center in police said listed","He . listed night police in critical but stable condition at Kings County Hospital Center , last said was"
"Investigators have meticulously looked into virtually every aspect of Campbell 's personal and financial affairs , Campbell has acknowledged .","Investigators continue to probe virtually every aspect of Campbell 's personal and financial affairs , the former mayor has said .","Investigators have meticulously looked into virtually every financial of Campbell 's personal and aspect affairs , Campbell has acknowledged .","into have meticulously looked personal virtually every aspect of Campbell 's Investigators and financial affairs , Campbell has acknowledged .","Investigators have affairs looked virtually into every aspect of Campbell 's personal and financial acknowledged , Campbell has meticulously ."
"For the full 12-month period ending June 30 , advanced services lines of all technology types increased by 56 percent .","For the full year period ending June 30 , 2003 , high-speed lines increased by 45 percent .","For 30 full 12-month period ending June the , advanced services lines of all technology types increased by 56 percent .","30 the For 12-month period ending June full , advanced services lines of all technology types increased by 56 percent .","For the . 12-month advanced ending June 30 , period services lines of all technology types increased percent 56 by full"
"On Sunday August 3 , the House of Deputies voted nearly 2-1 in favor of the Reverend Gene Robinson of New Hampshire .","On Tuesday in Minneapolis , the House of Bishops gave final approval on a 62-43 vote for the Rev. V. Gene Robinson of New Hampshire to become bishop .","On Sunday favor 3 , the House of Deputies voted nearly 2-1 in August of the Reverend Gene Robinson of New Hampshire .","On Sunday August 3 the , House of Deputies voted nearly 2-1 in Robinson of the Reverend Gene favor of New Hampshire .","On Sunday August 3 , the New of Deputies voted nearly 2-1 in favor of the Gene Reverend Robinson of House Hampshire ."
Federal officials gave the DPS officer an FAA number to call to initiate lost-aircraft procedures .,Federal officials then gave the Texas DPS officer a number to call at the FAA to initiate lost aircraft procedures .,Federal officials gave procedures DPS officer an FAA number to call to initiate lost-aircraft the .,Federal officials gave the . officer an FAA number DPS call to initiate lost-aircraft procedures to,call officials procedures the DPS officer an FAA to number Federal to initiate lost-aircraft gave .
"After 26 hours of surgery and a year of anticipation , the boys were separated Sunday at Children 's Medical Center of Dallas .","Two-year-old Egyptian twin boys , born with their heads conjoined , have been separated after 26 hours of surgery at the Children 's Medical Centre in Dallas .","After Medical hours of surgery and a year of anticipation , the boys were separated Sunday at Children 's 26 Center of Dallas .","After 26 hours of surgery and a year of anticipation separated the boys . , Sunday at Children 's Medical Center of Dallas were","After 26 hours , surgery and of year a anticipation of the boys Sunday separated were at Children 's Medical Center of Dallas ."
"But the settlement also defers any payment to investors , potentially for years , until the securities lawsuits against the brokerage firms are resolved .","Any payment to investors will be delayed , potentially for years , until the securities lawsuits against the brokerage firms are resolved .","But the settlement also defers any payment to investors firms potentially for years , until the securities lawsuits against the brokerage , are resolved .",", the settlement also defers any payment to investors But potentially for years , until the securities lawsuits against the are firms brokerage resolved .","But the settlement years defers . payment to investors , potentially for securities , until the also lawsuits against the brokerage firms are resolved any"
